indicator_id,year,value,region,note
13-1-1,2020,72.4,전국,기준값
13-1-1,2021,76.8,전국,
13-1-1,2022,81.2,전국,
13-1-1,2023,84.5,전국,
13-1-1,2024,88.1,전국,잠정치
13-2-1,2020,45.0,전국,기준값
13-2-1,2021,58.3,전국,
13-2-1,2022,69.1,전국,
13-2-1,2023,78.6,전국,
13-2-1,2024,85.2,전국,잠정치
13-2-2,2020,12.3,전국,기준값
13-2-2,2021,15.1,전국,
13-2-2,2022,18.4,전국,
13-2-2,2023,21.0,전국,
13-2-2,2024,23.5,전국,잠정치
13-4-1,2018,727.6,전국,기준값
13-4-1,2019,701.2,전국,
13-4-1,2020,656.2,전국,코로나19 영향 일시 감소
13-4-1,2021,676.8,전국,
13-4-1,2022,654.5,전국,
13-4-1,2023,624.0,전국,잠정치
14-1-1,2020,62.1,전국,기준값
14-1-1,2021,64.0,전국,
14-1-1,2022,65.8,전국,
14-1-1,2023,68.3,전국,
14-1-1,2024,70.5,전국,잠정치
14-1-2,2020,11.8,전국,기준값
14-1-2,2021,12.4,전국,
14-1-2,2022,13.1,전국,
14-1-2,2023,12.6,전국,
14-1-2,2024,13.9,전국,잠정치
14-2-1,2020,45,전국,기준값
14-2-1,2021,92,전국,
14-2-1,2022,148,전국,2023년 이후 실적 미갱신
14-2-2,2020,26000,전국,기준값
14-2-2,2021,29500,전국,
14-2-2,2022,33200,전국,
14-2-2,2023,36800,전국,
14-2-2,2024,40100,전국,잠정치
14-5-1,2020,2.46,전국,기준값
14-5-1,2021,2.46,전국,
14-5-1,2022,2.48,전국,
14-5-1,2023,3.02,전국,신규 습지보호지역 지정
14-5-1,2024,3.05,전국,잠정치
15-1-1,2020,16.9,전국,기준값
15-1-1,2021,17.1,전국,
15-1-1,2022,17.3,전국,
15-1-1,2023,17.4,전국,
15-1-1,2024,17.6,전국,잠정치
15-1-2,2020,63.2,전국,기준값
15-1-2,2021,63.1,전국,
15-1-2,2022,62.9,전국,
15-1-2,2023,62.8,전국,
15-1-2,2024,62.7,전국,잠정치
15-4-2,2020,32.0,전국,기준값
15-4-2,2021,36.5,전국,
15-4-2,2022,41.8,전국,
15-4-2,2023,47.2,전국,
15-4-2,2024,61.0,전국,잠정치
15-7-1,2020,1250,전국,기준값
15-7-1,2021,1980,전국,
15-7-1,2022,2760,전국,
15-7-1,2023,3610,전국,
15-7-1,2024,4520,전국,잠정치
